poi_id,name,type,rating,vote_count,lat,lon,description,open_hhmm,close_hhmm,open_days,hours_detail,hours_source_type,needs_review,name_norm,is_service_like,default_type_ok,is_destination_candidate,nearest_stop_id,nearest_stop_name,walk_dist_m,walk_time_min
13,Museum Benteng Vredeburg,Budaya dan Sejarah,4.6,15279,-7.799287456,110.3661757,"Benteng Vredeburg merupakan salah satu museum peninggalan Belanda yang sangat terkenal di Jogja karena di museum ini memiliki nilai cerita yang cukup panjang dan masih bertahan hingga saat ini. Museum Benteng Vredeburg mengoleksi berbagai macam karya seni, berbagai macam patung, dan berbagai macam senjata peninggalan Belanda.",08:00,20:00,Selasa–Minggu,Senin tutup; Jumat–Minggu 08:00–21:00,wisata_jogja_csv,0,museumbentengvredeburg,False,True,1,HT_112,Malioboro 3,146.5346532221909,1.8316831652773864
121,Sindu Kusuma Edupark (SKE),Buatan,4.2,14072,-7.7672973,110.3542486,"Sindu Kusuma Edupark merupakan wahana bermain berbasis edukasi dan hiburan untuk semua usia yang buka paling pagi dan tutup paling malam di Jogjakarta. Destinasi wisata ini menyuguhkan sebuah tempat bermain bagi keluarga yang lengkap dengan berbagai wahana permainan yang seru dan juga menantang. Wahana-wahana seperti Kora-Kora, Bianglala, Waterpark, dan Light Festival menjadi wahana terfavorit bagi para wisatawan. Selain itu tersedia juga restoran berkonsep Industrial Fun Cafe dengan harga yang murah dan terjangkau cocok untuk anda sekeluarga. Semua transaksi di Sindu Kusuma Edupark ini menggunakan kartu khusus yang bisa diperoleh di loket tiket, jadi tidak repot lagi mengeluarkan uang tunai. Selain wahana permainan, di SKE ini juga ada beberapa foto spot yang cukup bagus untuk dijadikan background foto.",09:00,17:00,Selasa–Minggu,Senin tutup; Sabtu–Minggu & libnas 08:00–18:00,wisata_jogja_csv,0,sindukusumaeduparkske,False,True,1,HT_238,TVRI - A,845.8392814639777,10.57299101829972
90,Tugu,Budaya dan Sejarah,4.8,13330,-7.7828822,110.3670514,"Tugu ini sekarang merupakan salah satu objek pariwisata Yogyakarta, dan sering dikenal dengan istilah “Tugu Pal Putih” (pal juga berarti tugu), karena warna cat yang digunakan sejak dulu adalah warna putih. Tugu pal ini berbentuk bulat panjang dengan bola kecil dan ujung yang runcing di bagian atasnya. Jika dilihat dari Keraton Yogyakarta ke arah utara, maka akan terlihat bahwa Jalan Malioboro, Jalan Margo Utomo, Tugu Yogyakarta, dan Jalan A.M. Sangadji membentuk garis lurus menuju puncak Gunung Merapi yang dikenal sebagai Garis Imajiner Yogyakarta.",00:00,23:59,24 jam,Tugu Yogyakarta - landmark terbuka,wisata_jogja_csv,0,tugu,False,True,1,HT_140,Pasar Kranggan Selatan,153.45736118066014,1.9182170147582518
26,Heha Sky View,Buatan,4.4,13048,-7.848530311,110.4787102,"Salah satu destinasi wisata favorit yang menawarkan pemandangan terbaik kota Yogyakarta dan sekitarnya “dari lantai 2”. Terletak di kawasan perbukitan Gunungkidul, HeHa Sky View hanya berjarak 40 menit dari pusat Kota Yogyakarta. Sky Ballon yang dibuat colorful menjadi salah satu wahana yang wajib dicoba. disini terdapat street food yang beraneka ragam dan dapat dinikmati sembari duduk dan mengobrol di bean bag ataupun outdoor area. banyak spot foto keren.",10:00,21:00,Setiap hari,Weekday 10:00–21:00; Weekend 08:00–21:00,wisata_jogja_csv,0,hehaskyview,False,True,0,,,,
395,Pantai Goa Cemara,Pantai,4.3,12755,-7.999423,110.248963,"Adalah Kawasan Wisata Terpadu, satu pintu dengan pembagian area yang jelas. Public area memang seperti diutamakan di pantai ini. Jajaran pedagang lokal berpadu dengan ramainya pasar tradisional. Dengan area cakupan luas meliputi wilayah konservasi penyu hijau, wilayah lahan pertanian, daerah wisata, dan pelestarian hutan cemara. Pasar tradisional, wisata pantai, outbond, camping ground, ruang pertemuan, atv, jip wisata offroad gumukpasir, kuliner, dan cinderamata. Dengan dukungan fasilitas publik yang lengkap dan terus berkembang. Fasilitas publik seperti MCK, kantor sekretariat, kantor keamanan, posko SAR, rumah ibadah, pos kesehatan juga tersedia.",00:00,23:59,24 jam,Pantai Goa Cemara,wisata_jogja_csv,0,pantaigoacemara,False,True,0,,,,
347,XT Square,Buatan,4.3,12396,-7.8165658,110.3866908,"XT-Square merupakan kawasan yang  dibangun dengan konsep terpadu yang ditawarkan kepada masyarakat dalam satu paket pusat wisata belanja, yakni what to see, what to eat, dan what  to buy. Didesain sebagai ruang publik dengan konsep citywalk,  didukung dengan area kuliner serta area pertunjukan seni semakin menunjang aktifitas wisata belanja yang nyaman dan menyenangkan, XT-Square dibangun untuk kepuasan pengunjung.",10:00,22:00,Setiap hari,XT Square,wisata_jogja_csv,0,xtsquare,False,True,1,HT_131,Pandeyan,92.67539948460349,1.1584424935575437
21,Kaliadem,"Alam, Budaya dan Sejarah",4.5,12338,-7.582047728,110.4476387,"Bunker Kaliadaem merupakan tempat untuk berlindung dari ganasnya Gunung Merapi. tempat ini menyimpan banyak jejak ganasnya Gunung merapi. di bunker kaliadem terdapat pintu utama yang terbuat dari baja setebal 15 cm, ruangan bungker yang masih memiliki sisa-sisa material merapi, dan bagian atas yang dilapisi batu serta pasir vulkanis",00:00,23:59,24 jam,Kaliadem / Bunker - kawasan terbuka,wisata_jogja_csv,0,kaliadem,False,True,0,,,,
344,Monumen Yogya Kembali,Museum,4.5,11302,-7.7495904,110.3696068,"Museum Monumen Jogja Kembali adalah sebuah museum Budaya dan Sejarah perjuangan kemerdekaan Republik Indonesia yang ada di kota Yogyakarta dan dikelola oleh Departemen Kebudayaan dan Pariwisata. Museum yang berada di bagian utara kota ini banyak dikunjungi oleh para pelajar dalam acara darmawisata. Museum Monumen dengan bentuk kerucut ini terdiri dari 3 lantai dan dilengkapi dengan ruang perpustakaan serta ruang serbaguna. Pada rana pintu masuk dituliskan sejumlah 422 nama pahlawan yang gugur di daerah Wehrkreise III (RIS) antara tanggal 19 Desember 1948 sampai dengan 29 Juni 1949. Dalam 4 ruang museum di lantai 1 terdapat benda-benda koleksi: realia, replika, foto, dokumen, heraldika, berbagai jenis senjata, bentuk evokatif dapur umum dalam suasana perang kemerdekaan 1945-1949. Tandu dan dokar (kereta kuda) yang pernah dipergunakan oleh Panglima Besar Jenderal Soedirman juga disimpan di sini (di ruang museum nomor 2). Monumen Jogja kembali beralamat Di jalan raya Ring road Utara Sleman Yogyakarta",08:00,16:00,Selasa–Minggu,Senin tutup,wisata_jogja_csv,0,monumenyogyakembali,False,True,1,HT_119,Monjali - A,243.71750391416555,3.0464687989270693
249,Ratu Boko,Budaya dan Sejarah,4.6,11176,-7.7705416,110.4894158,"Istana Ratu Boko adalah sebuah bangunan megah yang dibangun pada masa pemerintahan Rakai Panangkaran, salah satu keturunan Wangsa Syailendra. Istana yang awalnya bernama Abhayagiri Vihara (berarti biara di bukit yang penuh kedamaian) ini didirikan untuk tempat menyepi dan memfokuskan diri pada kehidupan spiritual. Berada di istana ini, anda bisa merasakan kedamaian sekaligus melihat pemandangan kota Yogyakarta dan Candi Prambanan dengan latar Gunung Merapi.",08:00,17:00,Setiap hari,Ratu Boko; tiket sunset s.d. 18:00,wisata_jogja_csv,0,ratuboko,False,True,0,,,,
368,Depok Beach,Pantai,4.3,10820,-8.0137087,110.2914777,"Pantai Depok yang letaknya hanya 1,5 km dari Parangtritis ini memang terkenal di kalangan wisatawan lokal. Selain karena keindahan pantainya, wisata pantai Yogyakarta yang satu ini juga terkenal dengan aneka menu seafood yang rasanya mampu menggoyang lidah. Tidak heran, hampir seluruh warga yang tinggal di sekitar pantai ini berprofesi sebagai nelayan. Itulah kenapa hidangan laut yang diolah di tempat ini sangat istimewa. Sebab memang semua ikan dan seafood yang ada di sini memang masih segar ketika diolah.",00:00,23:59,24 jam,Pantai Depok,wisata_jogja_csv,0,depokbeach,False,True,0,,,,
45,Central Museum of the Air Force Dirgantara Mandala,Museum,4.5,9828,-7.7899338,110.4156788,"Museum Pusat TNI AU “Dirgantara Mandala” adalah museum yang digagas oleh TNI Angkatan Udara untuk mengabadikan peristiwa berBudaya dan Sejarah dalam lingkungan TNI AU, bermarkas di kompleks Pangkalan Udara Adi Sutjipto, Yogyakarta. Museum ini sebelumnya berada berada di Jalan Tanah Abang Bukit, Jakarta dan diresmikan pada 4 April 1969 oleh Panglima AU Laksamana Roesmin Noerjadin lalu dipindahkan ke Yogyakarta pada 29 Juli 1978. ",08:00,15:30,Selasa–Minggu,Senin tutup; Jumat 08:00–14:00,wisata_jogja_csv,0,centralmuseumoftheairforcedirgantaramandala,False,True,1,HT_062,Janti Selatan,736.1693580891927,9.202116976114908
12,Masjid Gedhe Kauman,Budaya dan Sejarah,4.8,9784,-7.802697521,110.3625956,"Masjid Gedhe Kauman dibangun oleh Sri Sultan Hamengku Buwono I bersama Kyai Faqih Ibrahim Diponingrat (penghulu kraton pertama) dan Kyai Wiryokusumo sebagai arsiteknya. Masjid ini dibangun pada hari Ahad Wage, 29 Mei 1773 M atau 6 Rabi'ulakhir 1187 H. Masjid Gedhe Kauman merupakan tempat untuk beribadah, namun masjid ini juga menjadi tempat wisata yang cukup terkenal. Meskipun demikian, fungsi utama masjid sebagai tempat ibadah masih terjaga dengan sangat baik lengkap dengan semua fasilitas yang diperlukan.",00:00,23:59,24 jam,Masjid Gedhe Kauman - masjid aktif,wisata_jogja_csv,0,masjidgedhekauman,False,True,1,HT_075,KHA Dahlan - A,313.703245147686,3.921290564346075
5,Bukit Paralayang Watugupit,"Alam, Petualangan, Pantai",4.7,9614,-8.026589501,110.3458478,"Seperti namanya, bukit ini digunakan sebagai tempat untuk landasan pacu olahraga paralayang. Para profesional banyak yang berlatih di sini. Bahkan, orang awam pun dapat mencoba paralayang karena terdapat instruktur yang akan mendampingi.",06:00,18:00,Setiap hari,Bukit Paralayang Watugupit,wisata_jogja_csv,0,bukitparalayangwatugupit,False,True,0,,,,
371,Pantai Drini,Pantai,4.5,8969,-8.1384509,110.577522,"Pantai Drini merupakan salah satu pantai di deretan pantai selatan Gunungkidul yang banyak direkomendasikan. Pantai ini dijuluki sebagai ‘Pantai Perawan’ karena kondisi pantai ini masih bersih dengan suasana yang masih alami. Udara tempat wisata ini sejuk, aliran airnya tenang, dan pasir putihnya begitu mempesona.",00:00,23:59,24 jam,Pantai Drini,wisata_jogja_csv,0,pantaidrini,False,True,0,,,,
19,Pantai Parangtritis,Pantai,4.5,8727,-8.024608,110.3298045,"Paintai Parangtritis merupakan salah satu ikon di Kabupaten Bantul. Pantai ini memiliki pasir hitam. Di pantai ini dapat bermain ATV, menaiki kuda. Di sisi utara timur pantai dapat menemukan bukit kecil yang sangat cocok untuk menikmati pemandangan sore hari ditemani angin. pantai ini memiliki cerita misteri di dalamnya.",00:00,23:59,24 jam,Pantai Parangtritis,wisata_jogja_csv,0,pantaiparangtritis,False,True,0,,,,
353,Embung Tambakboyo,Buatan,4.4,8564,-7.756227,110.4150131,"Waduk Tambakboyo Kabupaten Sleman Daerah Istimewa Yogyakarta ini dibangun pada tahun 2003 dan selesai tahun 2008. Pembangunan yang memakan waktu lima tahun ini memang sudah diperhitungkan dengan matang. Pada mulanya embung atau waduk ini dibangun sebagai tempat penampungan air untuk cadangan warga Sleman. Namun seiring dengan berjalannya waktu, Embung Tambakboyo menjadi salah satu wisata alam gratis yang banyak peminatnya.",06:00,18:00,Setiap hari,Embung Tambakboyo,wisata_jogja_csv,0,embungtambakboyo,False,True,1,HT_156,Polsek Depok Timur - A,707.0728844159694,8.838411055199618
464,Lava Merapi and Alien Stone,Alam,4.5,8111,-7.6023375,110.4552585,"Lava Tour Merapi bisa menjadi pilihan aktivitas wisata ketika berlibur di Yogyakarta. Lava Tour Merapi adalah istilah untuk tur wisata kawasan terdampak erupsi Gunung Merapi tahun 2010. Tur yang dimaksud saat ini merupakan tur menggunakan mobil jenis jeep. Kegiatan tur meliputi kunjungan ke sejumlah titik yang terkena dampak langsung erupsi. Lava tour Merapi ditawarkan sebagai aneka pilihan paket wisata. Paket-paket ini dibanderol dengan harga yang beragam. Setiap paket sudah termasuk tiket masuk untuk sejumlah titik pemberhentian. Paket wisata ini bisa menampung rombongan, sehingga cocok untuk dijajal sebagai liburan keluarga atau bersama teman.",06:00,17:00,Setiap hari,Lava Merapi & Alien Stone,wisata_jogja_csv,0,lavamerapiandalienstone,False,True,0,,,,
221,Candi Plaosan,Budaya dan Sejarah,4.6,7855,-7.7407807,110.5046772,"Candi Plaosan terletak di Desa Bugisan, Kecamatan Prambanan, Kabupaten Klaten, kira-kira 1,5 km ke arah timur dari Candi Sewu. Candi ini merupakan sebuah kompleks bangunan kuno yang terbagi menjadi dua, yaitu kompleks Candi Plaosan Lor (lor dalam bahasa Jawa berarti utara) dan kompleks Candi Plaosan Kidul (kidul dalam bahasa Jawa berarti selatan). Pahatan yang terdapat di Candi Plaosan sangat halus dan rinci, mirip dengan yang terdapat di Candi Borobudur, Candi Sewu, dan Candi Sari. Candi Plaosan yang merupakan candi Buddha ini oleh para ahli diperkirakan dibangun pada masa pemerintahan Rakai Pikatan dari Kerajaan Mataram Hindu, yaitu pada awal abad ke-9 M. Salah satu pakar yang mendukung pendapat itu adalah De Casparis yang berpegang pada isi Prasasti Cri Kahulunan (842 M). Dalam prasasti tersebut dinyatakan bahwa Candi Plaosan Lor dibangun oleh Ratu Sri Kahulunan, dengan dukungan suaminya. Menurut De Casparis, Sri Kahulunan adalah gelar Pramodhawardani, putri Raja Samarattungga dari Wangsa Syailendra. Sang Putri, yang memeluk agama Buddha, menikah dengan Rakai Pikatan dari Wangsa Sanjaya, yang memeluk agama Hindu.",06:00,17:00,Setiap hari,Candi Plaosan,wisata_jogja_csv,0,candiplaosan,False,True,0,,,,
466,Agro Tourism Bhumi Merapi,Agrowisata,4.5,7697,-7.6400756,110.4264098,"Agrowisata Bhumi Merapi Yogyakarta. Tempat wisata yang terletak di daerah Kaliurang ini menawarkan wisata edukasi bagi para pengunjungnya. Dibangun pada tahun 2015 dengan luas 5,2 hektar. Tempat wisata ini menawarkan konsep pertanian, perkebunan, dan peternakan. Jadi, selain liburan para pengunjung pun bisa mendapatkan banyak ilmu. Suasananya yang sejuk dan nyaman juga membuat para pengunjung betah berlama-lama disana. Berbagai aktivitas wisata bisa dilakukan di tempat wisata ini. Utamanya kegiatan-kegiatan yang berhubungan dengan pertanian, peternakan dan perkebunan. Berikut beberapa diantaranya. Identik dengan wisata edukasi, taman rekreasi ini menyediakan tempat belajar budidaya hewan bagi para pengunjungnya. Diantaranya kambing dan kelinci. Kambing yang dipelajari adalah jenis kambing Ettawa. Kegiatan yang dilakukan diantaranya adalah memerah susu kambing, memberikan susu dot bagi anak kambing, mengolah susu untuk dijadikan yogurt dan ice cream,  pengolahan pakan ternak, dan pengolahan kotoran kambing menjadi pupuk organik dan biogas. Sedangkan kelinci yang ada disini adalah kelinci hias dan kelinci pedaging. Dan pengunjung juga bisa memberi makan kepada kelinci. Selain itu, ada juga binatang berjenis reptile yang dipelihara disini seperti ular, kura-kura, dan reptile lainnya yang dapat digunakan sebagai sarana edukasi.",07:00,17:00,Setiap hari,Agro Tourism Bhumi Merapi,wisata_jogja_csv,0,agrotourismbhumimerapi,False,True,0,,,,
171,Wisata Kalibiru,Alam,4.4,6912,-7.8057305,110.127969,"Wisata Kalibiru terletak pada ketinggian 450 mdpl, yang kini telah menjadi hutan wisata nan subur. Dengan perbukitan yang ditumbuhi oleh berbagai pepohonan, seperti cemara, jati, dan kayu putih. Tempat wisata ini terletak di pedesaan, tak heran jika banyak dijumpai rumah berarsitektur Jawa kuno. Rumah – rumah ini difungsikan sebagai kantor pengelola serta loket tiket masuk. Setelah itu, pengunjung harus melakukan trekking di hutan untuk dapat menuju spot utama. Di sini, telah disediakan jalan setapak sehingga pengunjung tinggal mengikuti arah jalan tersebut. Di sepanjang perjalanan, pengunjung akan menemukan berbagai jenis vegetasi. Mulai dari semak – semak hingga pepohonan berbatang kayu yang bercabang – cabang. Selain itu, ada juga tanaman anggrek yang seolah bersembunyi di rimbunnya pepohonan.",08:00,16:00,Setiap hari,Wisata Kalibiru,wisata_jogja_csv,0,wisatakalibiru,False,True,0,,,,
52,De Mata Trick Eye Museum,"Buatan, Museum",4.4,6855,-7.8163156,110.3871442,"Berawal dari keinginan bahwa Indonesia tidak boleh kalah dengan negara lain dalam bidang pariwisata, Direktur Utama PT. Demata Maris Indonesia, yaitu Bapak Petrus FX Kusuma mendapatkan inspirasi untuk mengadaptasi konsep tempat wisata dari luar negeri agar dapat dibawa ke Indonesia. Bertujuan agar masyarakat di Indonesia dapat mengunjungi tempat serupa namun tidak sama yang tetap lekat dengan unsur edukatif, inovatif, dan entertaining. Ditawarkan dengan harga tiket masuk yang low cost-highly entertaining, sehingga memberikan kesempatan terhadap semua kalangan untuk dapat berwisata. Dengan adanya beberapa tempat wisata yang sudah ada dan yang akan dibangun oleh PT. Demata Maris Indonesia tidak hanya merupakan sebuah cita-cita dan mimpi yang terwujud namun juga sebuah bisnis yang potensial yang memberikan kesempatan kepada seluruh masyarakat Indonesia untuk berwisata dengan harga tiket yang murah",09:00,21:00,Setiap hari,De Mata Trick Eye Museum,wisata_jogja_csv,0,dematatrickeyemuseum,False,True,1,HT_131,Pandeyan,100.95715025971082,1.2619643782463852
16,Candi Sambisari,Budaya dan Sejarah,4.6,6238,-7.762491,110.4470374,"Candi Sambisari adalah Candi Hindu yang berada di Purwomartani, Kalasan, Sleman, Daerah Istimewa Yogyakarta. Posisinya kira-kira berada 12 kilometer (km) di sebelah timur kota Yogyakarta ke arah kota Solo. Lokasi candinya pun cukup unik, yaitu terletak kira-kira 6,5 meter lebih rendah dari permukaan tanah di sekitarnya. Oleh karena itu, jika hendak masuk ke dalam kompleks candi kamu harus berjalanan kaki menuruni puluhan anak tangga yang cukup curam sehingga kamu harus berhati-hati. Jika kamu berada di kawasan sekitar candi, yang kamu lihat hanyalah atap candi yang sedikit menyembul di permukaan tanah.",07:30,17:00,Setiap hari,Candi Sambisari,wisata_jogja_csv,0,candisambisari,False,True,0,,,,
391,Pantai Wediombo,Pantai,4.5,6072,-8.1902176,110.7103772,"Daya tarik pantai ini terletak di gugusan karangnya. Sepanjang bibir pantai, Wedi Ombo dihiasi hamparan karang. Bebatuan ini membuat Wedi Ombo bagaikan taman karang yang luas. Selain itu, lautnya yang tenang membuat lokasinya cocok untuk bersantai. Pantai Wedi Ombo berada di pinggiran teluk. Pantai ini menghadap ke barat dengan garis pantai nyaris lurus. Ini membuat angin laut yang menerpa tidak sekencang pantai lainnya. Sehingga, lautnya pun cenderung lebih tenang.",00:00,23:59,24 jam,Pantai Wediombo,wisata_jogja_csv,0,pantaiwediombo,False,True,0,,,,
366,Pantai Parangkusumo,Pantai,4.4,5887,-8.022769,110.324995,"Pantai Parangkusumo merupakan salah satu pantai yang dianggap sakral oleh penduduk setempat. Masyarakat Jogja meyakini adanya hubungan spesial antara Keraton Jogja dengan Nyi Roro Kidul, penguasa pantai selatan. Dalam tradisi Jawa, Pantai Parangkusumo dianggap sebagai gerbang utama atau jalan menuju Keraton Gaib Laut Selatan, kerajaan Nyi Roro Kidul. Karena itu, tak heran jika Pantai Parangkusumo kerap menjadi tujuan peziarah saat bulan Sura dalam kalender penanggalan Jawa. Begitu pun pada hari-hari biasa, pengunjung akan meramaikan pantai saat malam Selasa Kliwon dan Jumat Kliwon. Meski kental dengan nuansa mistis dan legenda, Pantai Parangkusumo juga menawarkan pemandangan yang tak kalah indah dari pantai lain di Jogja. Di sini, kamu akan melihat tumbuhan sejenis kelapa sawit berjejer di bagian belakang pantai yang menciptakan kesan asri.",00:00,23:59,24 jam,Pantai Parangkusumo,wisata_jogja_csv,0,pantaiparangkusumo,False,True,0,,,,
170,Taman Sungai Mudal,Alam,4.6,5499,-7.7628136,110.1161626,"Taman Sungai Mudal, sebuah objek wisata alam terbuka yang terletak di Kabupaten Kulon Progo, yang menawarkan pesona sebuah kolam pemandian yang bersumber dari mata air alami. Mata airnya bersumber dari sebuah goa, sehingga kehadiran Taman Sungai Mudal menjadi mengesampingkan kesan angker dari sebuah goa. Apalagi ditambah dengan dukungan fasilitas yang membuat para wisatawan merasa nyaman saat berada di sana.",08:30,15:15,Setiap hari,Taman Sungai Mudal,wisata_jogja_csv,0,tamansungaimudal,False,True,0,,,,
